Date,Reference,Rate,,,,,,dontknow,
7/30/2002,EFFR,1.71,,,,,,1.75,
7/31/2002,EFFR,1.76,,,,,,1.75,
8/1/2002,EFFR,1.79,,,,,,1.75,
8/2/2002,EFFR,1.72,,,,,,1.75,
8/5/2002,EFFR,1.77,,,,,,1.75,
8/6/2002,EFFR,1.74,,,,,,1.75,
8/7/2002,EFFR,1.71,,,,,,1.75,
8/8/2002,EFFR,1.71,,,,,,1.75,
8/9/2002,EFFR,1.68,,,,,,1.75,
8/12/2002,EFFR,1.76,,,,,,1.75,
8/13/2002,EFFR,1.74,,,,,,1.75,
8/14/2002,EFFR,1.78,,,,,,1.75,
8/15/2002,EFFR,1.87,,,,,,1.75,
8/16/2002,EFFR,1.7,,,,,,1.75,
8/19/2002,EFFR,1.72,,,,,,1.75,
8/20/2002,EFFR,1.7,,,,,,1.75,
8/21/2002,EFFR,1.72,,,,,,1.75,
8/22/2002,EFFR,1.73,,,,,,1.75,
8/23/2002,EFFR,1.72,,,,,,1.75,
